onset	duration	trial_type	expected_response	given_response	response_time
 310.018	 1.692	RESPONSE_CONG_LEFT	1	0	 2147483.647
 311.710	 2.314	ISI	0	0	 0.000
 314.024	 2.047	CONG_RIGHT	0	0	 0.000
 316.071	 2.180	ISI	0	0	 0.000
 318.251	 2.028	REST	0	0	 0.000
 320.279	 2.180	ISI	0	0	 0.000
 322.459	 2.047	V_RIGHT	0	0	 0.000
 324.506	 1.826	ISI	0	0	 0.000
 326.332	 1.712	RESPONSE_V_RIGHT	1	0	 2147483.647
 328.044	 1.893	ISI	0	0	 0.000
 329.937	 2.047	INCONG_VR_PL	0	0	 0.000
 331.984	 2.093	ISI	0	0	 0.000
 334.077	 2.047	P_LEFT	0	0	 0.000
 336.124	 2.248	ISI	0	0	 0.000
 338.372	 2.047	INCONG_VL_PR	0	0	 0.000
 340.419	 1.959	ISI	0	0	 0.000
 342.378	 2.047	REST	0	0	 0.000
 344.425	 2.381	ISI	0	0	 0.000
 346.806	 1.360	BASE	0	0	 0.000
